time_of_dip_seconds,min_depth,avg_depth,object,dip_duration_seconds,line_integral,avg_depth_gradient,max_depth_gradient,depth_variance,depth_fourth_moment,avg_vehicles,avg_bicycles,avg_people,frame_count,start_frame_idx,end_frame_idx,dip_array,dip_height,fill_factor,plateau_variance,shape_category
-0.354,57,93.33928571,V,2.574,90.93636364,6.418181818,89,1490.009885,12346058.08,0.696428571,0,0.028927158,56,119,174,"[226, 159, 152, 147, 141, 136, 131, 126, 121, 116, 112, 109, 107, 105, 104, 100, 96, 91, 87, 82, 79, 75, 71, 68, 65, 64, 63, 62, 62, 62, 62, 62, 61, 60, 59, 58, 57, 57, 57, 58, 59, 60, 62, 64, 66, 67, 68, 70, 105, 104, 107, 100, 108, 116, 136, 225]",169,0.799193115,194.7181122,Boxy_Irregular
27.562,74,143.1428571,P,0.329,128.8333333,100.3333333,157,5463.836735,32621371.92,0,0,0.851461036,7,642,648,"[231, 74, 74, 88, 227, 81, 227]",157,0.6507431,4158.1875,Boxy_Irregular
28.765,50,155.5517241,P,1.43,153.0357143,68.85714286,175,4967.6956,32959944.72,0,0,1,29,663,691,"[227, 75, 80, 227, 226, 226, 183, 183, 183, 76, 75, 76, 225, 74, 225, 183, 182, 183, 183, 66, 62, 60, 225, 225, 225, 56, 225, 50, 225]",177,0.41787732,3840.979592,Peaked_Irregular (Likely Pedestrian/Bike)
30.948,22,78.38461538,P,4.15,76.69444444,26.41111111,185,4395.159763,89254278.48,0,0,1,91,705,795,"[233, 65, 236, 58, 55, 56, 56, 56, 56, 56, 56, 235, 234, 51, 68, 235, 235, 50, 50, 49, 48, 50, 50, 48, 48, 48, 48, 47, 49, 50, 49, 49, 47, 49, 50, 49, 53, 52, 50, 50, 57, 57, 60, 56, 56, 53, 49, 49, 48, 49, 49, 49, 49, 49, 50, 55, 54, 56, 48, 25, 48, 22, 50, 51, 50, 50, 49, 48, 46, 48, 29, 47, 49, 49, 47, 48, 47, 47, 49, 49, 233, 233, 234, 49, 233, 232, 231, 233, 56, 56, 228]",214,0.744418484,39.67296786,Boxy_Irregular
35.42,49,113.9230769,P,2.999,112.15625,69.03125,174,6385.147929,59799635.91,0,0,1.624771533,65,801,865,"[229, 56, 57, 227, 56, 226, 56, 56, 49, 50, 50, 56, 56, 51, 56, 51, 56, 64, 56, 56, 56, 49, 51, 56, 56, 57, 227, 56, 50, 56, 51, 225, 64, 225, 56, 67, 225, 56, 56, 56, 226, 225, 59, 225, 225, 225, 59, 59, 226, 70, 225, 225, 61, 225, 225, 225, 225, 225, 65, 62, 60, 65, 225, 59, 225]",180,0.649131944,5767.496094,Peaked_Irregular (Likely Pedestrian/Bike)
39.274,60,139.1794872,P,1.842,136.9210526,59.10526316,164,6329.121631,41158715.57,0,0,1.33561715,39,880,918,"[225, 68, 70, 64, 63, 65, 64, 225, 71, 225, 225, 225, 62, 65, 226, 62, 63, 225, 225, 225, 225, 75, 65, 225, 225, 225, 225, 225, 69, 65, 63, 63, 60, 63, 64, 225, 225, 73, 225]",166,0.536620165,5774.0275,Peaked_Irregular (Likely Pedestrian/Bike)
41.438,70,169.3636364,P,0.5,163.75,62.1,156,5501.140496,40001317.73,0,0,1,11,924,934,"[225, 71, 72, 72, 225, 226, 226, 225, 225, 70, 226]",156,0.399038462,5236.222222,Peaked_Irregular (Likely Pedestrian/Bike)
42.368,2,79.24,P,12.464,78.7080292,45.78832117,222,6797.556945,105259631.1,0,0,1.249892935,275,942,1216,"[225, 66, 65, 63, 63, 66, 64, 67, 226, 225, 225, 225, 225, 66, 59, 59, 60, 225, 60, 59, 57, 57, 225, 59, 59, 225, 64, 225, 225, 60, 64, 36, 58, 56, 56, 56, 56, 57, 59, 228, 60, 63, 62, 62, 66, 63, 71, 225, 66, 65, 64, 225, 225, 225, 225, 225, 226, 184, 184, 183, 78, 183, 185, 225, 226, 68, 63, 62, 62, 60, 58, 58, 57, 61, 58, 57, 58, 58, 56, 56, 58, 56, 56, 56, 55, 54, 54, 54, 55, 56, 52, 52, 54, 51, 52, 56, 43, 42, 39, 37, 33, 28, 26, 49, 226, 16, 16, 16, 226, 184, 17, 9, 6, 9, 9, 43, 16, 43, 16, 43, 226, 226, 226, 227, 50, 40, 38, 226, 226, 226, 49, 226, 225, 45, 225, 225, 16, 227, 44, 16, 10, 16, 11, 16, 52, 9, 9, 9, 9, 9, 9, 7, 9, 9, 10, 11, 13, 11, 10, 9, 11, 10, 9, 17, 9, 12, 16, 23, 17, 7, 13, 9, 9, 9, 9, 16, 186, 50, 56, 184, 40, 42, 184, 184, 185, 16, 184, 225, 225, 225, 225, 184, 225, 184, 225, 4, 4, 4, 3, 185, 4, 4, 4, 5, 4, 3, 4, 5, 4, 3, 4, 2, 2, 3, 4, 226, 4, 4, 2, 3, 3, 3, 9, 57, 5, 5, 4, 43, 5, 8, 49, 39, 6, 47, 16, 6, 225, 226, 45, 49, 49, 225, 16, 44, 8, 42, 226, 16, 225, 12, 16, 43, 52, 9, 6, 6, 9, 6, 9, 226, 49, 16, 49, 56, 225, 225, 225, 16, 225, 51, 50, 226, 43, 43, 225]",226,0.660583942,6124.890359,Boxy_Irregular
55.693,40,79.04,P,1.072,72.95833333,45.75,185,5344.9984,92735835.1,0,0,0.330178816,25,1232,1256,"[225, 44, 40, 40, 40, 40, 42, 42, 42, 42, 42, 41, 42, 41, 41, 226, 44, 44, 44, 44, 225, 225, 50, 45, 225]",186,0.822804659,2584.576389,Boxy_Irregular
61.044,16,148.6666667,P,0.241,133.4,99.6,209,9000.222222,120524666.7,0,0,1,6,1335,1340,"[225, 16, 16, 225, 185, 225]",209,0.438277512,9706.888889,Peaked_Irregular (Likely Pedestrian/Bike)
